id,generic_name,scientific_name,english_name,sex,file_url,length,license,location,bird_type,also,smp,seen,regnr,file,source
963598,Nestor,meridionalis,Kaka,male,https://xeno-canto.org/963598/download,35,//creativecommons.org/licenses/by-nc-sa/4.0/,"Mt_Bruce_National_Wildlife_Centre_(near__Mount_Bruce),_Tararua_District,_Manawatū-Whanganui",song,"['Mohoua albicilla', 'Prosthemadera novaeseelandiae']",44100,yes,,https://xeno-canto.org/963598/download,Xeno-Canto
963596,Nestor,meridionalis,Kaka,male,https://xeno-canto.org/963596/download,71,//creativecommons.org/licenses/by-nc-sa/4.0/,"Mt_Bruce_National_Wildlife_Centre_(near__Mount_Bruce),_Tararua_District,_Manawatū-Whanganui",song,"['Tadorna variegata', 'Mohoua albicilla', 'Prosthemadera novaeseelandiae']",44100,yes,,https://xeno-canto.org/963596/download,Xeno-Canto
963595,Nestor,meridionalis,Kaka,male,https://xeno-canto.org/963595/download,66,//creativecommons.org/licenses/by-nc-sa/4.0/,"Mt_Bruce_National_Wildlife_Centre_(near__Mount_Bruce),_Tararua_District,_Manawatū-Whanganui",song,['Mohoua albicilla'],44100,yes,,https://xeno-canto.org/963595/download,Xeno-Canto
959427,Nestor,meridionalis,Kaka,male,https://xeno-canto.org/959427/download,14,//creativecommons.org/licenses/by-nc-sa/4.0/,"Ngaherenga_DOC_campsite,_Pureora_Forest_Park,_Waikato_District.",song,"['Petroica longipes', 'Gerygone igata']",44100,yes,,https://xeno-canto.org/959427/download,Xeno-Canto
326938,Nestor,meridionalis,Kaka,,https://xeno-canto.org/326938/download,33,//creativecommons.org/licenses/by-nc-sa/4.0/,"Ulva_I.,_Stewart_Island,_New_Zealand",song,[],44100,yes,,https://xeno-canto.org/326938/download,Xeno-Canto
962687,Nestor,meridionalis,Kaka,uncertain,https://xeno-canto.org/962687/download,88,//creativecommons.org/licenses/by-nc-sa/4.0/,"Kiriwhakapapa,_Masterton_District,_Wellington","call,_song","['Cyanoramphus auriceps', 'Gerygone igata', 'Rhipidura fuliginosa']",44100,yes,,https://xeno-canto.org/962687/download,Xeno-Canto
925377,Nestor,meridionalis,Kaka,uncertain,https://xeno-canto.org/925377/download,132,//creativecommons.org/licenses/by-nc-sa/4.0/,"Lady_Alice_Island,_Whangarei_District,_Northland",song,[],44100,no,,https://xeno-canto.org/925377/download,Xeno-Canto
295408,Nestor,meridionalis,Kaka,,https://xeno-canto.org/295408/download,60,//creativecommons.org/licenses/by-nc-sa/4.0/,"Waikanae,_Kapiti_Coast_District,_Wellington",song,"['Notiomystis cincta', 'Mohoua albicilla']",48000,yes,,https://xeno-canto.org/295408/download,Xeno-Canto
293133,Nestor,meridionalis,Kaka,,https://xeno-canto.org/293133/download,48,//creativecommons.org/licenses/by-nc-sa/4.0/,"Waipapa_Ecological_Area,_Pureora_Forest,_North_Island","call,_song","['Petroica longipes', 'Todiramphus sanctus', 'Mohoua albicilla']",44100,yes,,https://xeno-canto.org/293133/download,Xeno-Canto
979583,Prosthemadera,novaeseelandiae,Tui,uncertain,https://xeno-canto.org/979583/download,24,//creativecommons.org/licenses/by-nc-sa/4.0/,"Taiko_Camp,_Chatham_Island_",song,[],48000,yes,,https://xeno-canto.org/979583/download,Xeno-Canto
979580,Prosthemadera,novaeseelandiae,Tui,uncertain,https://xeno-canto.org/979580/download,391,//creativecommons.org/licenses/by-nc-sa/4.0/,"Taiko_Camp,_Chatham_Island_",song,[],48000,yes,,https://xeno-canto.org/979580/download,Xeno-Canto
979576,Prosthemadera,novaeseelandiae,Tui,uncertain,https://xeno-canto.org/979576/download,260,//creativecommons.org/licenses/by-nc-sa/4.0/,"Taiko_Camp,_Chatham_Island_",song,[],48000,yes,,https://xeno-canto.org/979576/download,Xeno-Canto
979573,Prosthemadera,novaeseelandiae,Tui,uncertain,https://xeno-canto.org/979573/download,385,//creativecommons.org/licenses/by-nc-sa/4.0/,"Taiko_Camp,_Chatham_Island_",song,['Zosterops lateralis'],48000,yes,,https://xeno-canto.org/979573/download,Xeno-Canto
979570,Prosthemadera,novaeseelandiae,Tui,uncertain,https://xeno-canto.org/979570/download,82,//creativecommons.org/licenses/by-nc-sa/4.0/,"Taiko_Camp,_Chatham_Island_",song,[],48000,yes,,https://xeno-canto.org/979570/download,Xeno-Canto
979569,Prosthemadera,novaeseelandiae,Tui,uncertain,https://xeno-canto.org/979569/download,79,//creativecommons.org/licenses/by-nc-sa/4.0/,"Taiko_Camp,_Chatham_Island_",song,['Acanthis cabaret'],48000,yes,,https://xeno-canto.org/979569/download,Xeno-Canto
975481,Prosthemadera,novaeseelandiae,Tui,uncertain,https://xeno-canto.org/975481/download,99,//creativecommons.org/licenses/by-nc-sa/4.0/,"Taiko_Camp,_Chatham_Island_",song,[],44100,no,,https://xeno-canto.org/975481/download,Xeno-Canto
975474,Prosthemadera,novaeseelandiae,Tui,uncertain,https://xeno-canto.org/975474/download,31,//creativecommons.org/licenses/by-nc-sa/4.0/,"Taiko_Camp,_Chatham_Island_",song,[],44100,no,,https://xeno-canto.org/975474/download,Xeno-Canto
975467,Prosthemadera,novaeseelandiae,Tui,uncertain,https://xeno-canto.org/975467/download,96,//creativecommons.org/licenses/by-nc-sa/4.0/,"Taiko_Camp,_Chatham_Island_",song,[],44100,no,,https://xeno-canto.org/975467/download,Xeno-Canto
975461,Prosthemadera,novaeseelandiae,Tui,uncertain,https://xeno-canto.org/975461/download,109,//creativecommons.org/licenses/by-nc-sa/4.0/,"Taiko_Camp,_Chatham_Island_",song,[],44100,no,,https://xeno-canto.org/975461/download,Xeno-Canto
975454,Prosthemadera,novaeseelandiae,Tui,uncertain,https://xeno-canto.org/975454/download,146,//creativecommons.org/licenses/by-nc-sa/4.0/,"Taiko_Camp,_Chatham_Island_",song,[],44100,no,,https://xeno-canto.org/975454/download,Xeno-Canto
